[2026-05-31T10:50:38.798+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-31T10:50:38.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-05-31T10:50:34.654234+00:00 [queued]>
[2026-05-31T10:50:38.816+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-05-31T10:50:34.654234+00:00 [queued]>
[2026-05-31T10:50:38.817+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-05-31T10:50:38.826+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-05-31 10:50:34.654234+00:00
[2026-05-31T10:50:38.829+0000] {standard_task_runner.py:63} INFO - Started process 474 to run task
[2026-05-31T10:50:38.832+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-05-31T10:50:34.654234+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpv4ffw00_']
[2026-05-31T10:50:38.833+0000] {standard_task_runner.py:91} INFO - Job 24: Subtask core_table
[2026-05-31T10:50:38.865+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-05-31T10:50:34.654234+00:00 [running]> on host fa7e94e85520
[2026-05-31T10:50:38.913+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='data@engineers.com' AIRFLOW_CTX_DAG_OWNER='dataengineers' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-05-31T10:50:34.654234+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-31T10:50:34.654234+00:00'
[2026-05-31T10:50:38.915+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-31T10:50:38.922+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-05-31T10:50:38.925+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-05-31T10:50:38.929+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-05-31T10:50:38.942+0000] {data_modification.py:32} INFO - Inserted row with Video_ID: SllXaJiQjBA
[2026-05-31T10:50:38.945+0000] {data_modification.py:32} INFO - Inserted row with Video_ID: dqpCvSU-ECE
